id	author	title	date
10.2307/2872791	Edward A. Snow	Loves of Comfort and Despair: A Reading of Shakespeare's Sonnet 138	1980
10.1086/653413	Raphael Israeli - Shmuel Berkovits - Jacques Neriah - Marvin Hier	Critical Response <br></br>II “The Architecture of Erasure”—Fantasy or Reality?	2010
10.2307/1343379		Editor's Preface	1983
10.2307/2871603	Elmer Edgar Stoll	Recent Elizabethan Criticism	1939
10.2307/2872940	Patrick A. McCarthy	Joyce's Unreliable Catechist: Mathematics and the Narration of "Ithaca"	1984
10.2307/1344022	Vladimir Jankélévitch - Ann Hobart	Do Not Listen to What They Say_ Look at What They Do	1996
10.2307/1343384	Hershel Parker	Lost Authority: Non-Sense_ Skewed Meanings_ and Intentionless Meanings	1983
10.2307/1343606	Zhang Longxi	The Myth of the Other: China in the Eyes of the West	1988
10.2307/1343739	Sandra M. Gilbert - Susan Gubar	Masterpiece Theatre: An Academic Melodrama	1991
10.2307/2872154	John M. Wallace	Dryden and History: A Problem in Allegorical Reading	1969
10.2307/30030109	Gregg A. Hecimovich	The Cup and the Lip and the Riddle of Our Mutual Friend	1995
10.2307/2872590	Thomas E. Maresca	The Context of Dryden's Absalom and Achitophel	1974
10.2307/1343210	Alexander Nehamas	The Postulated Author: Critical Monism as a Regulative Ideal	1981
10.2307/1343527	Frank Lentricchia	Patriarchy against Itself: The Young Manhood of Wallace Stevens	1987
10.2307/1343669	David Simpson	Literary Criticism and the Return to "History"	1988
10.2307/2872227	Walter L. Reed	The Pattern of Conversion in Sartor Resartus	1971
10.1086/376305	Geoffrey Galt Harpham	Doing the Impossible: Slavoj Žižek and the End of Knowledge	2003
10.2307/30029973		Front Matter	2005
10.2307/30030002	Deanne Williams	Dido_ Queen of England	2006
10.2307/2873082		Volume Information	1990
10.2307/1343129	Gerald L. Bruns	Intention_ Authority_ and Meaning	1980
10.2307/30030108	Tracy C. Davis	"Reading Shakespeare by Flashes of Lightning": Challenging the Foundations of Romantic Acting Theory	1995
10.1086/521566	Diana Taylor	Double‐Blind: The Torture Case	2007
10.2307/2871955	Gerrit H. Roelofs	Henry Adams: Pessimism and the Intelligent Use of Doom	1950
10.2307/2872431	Joanne Feit Diehl	Emerson_ Dickinson_ and the Abyss	1977
10.1086/661643	R. John Williams	<i>Technê</i>-Zen and the Spiritual Quality of Global Capitalism	2011
10.2307/27742941	Blaine Greteman	"Exactest Proportion": The Iconoclastic and Constitutive Powers of Metaphor in Milton's Prose Tracts	2009
10.2307/1343925	E. P. Thompson	Agenda for Radical History	1995
10.2307/2872836		Back Matter	1985
10.2307/2871668	Arthur Palmer Hudson	Romantic Apologiae for Hamlet's Treatment of Ophelia	1942
10.2307/1343939	Charles Harrison	Art & Language Paints a Landscape	1995
10.2307/2872737	Ellen Serlen	The Two Worlds of Bleak House	1976
10.1086/648524	John Wilkinson	The Glass Enclosure: Transparency and Glitter in the Poetry of George Oppen	2010
10.2307/40664622	DAVID HAWKES	THOMAS GRESHAM'S LAW_ JANE SHORE'S MERCY: VALUE AND CLASS IN THE PLAYS OF THOMAS HEYWOOD	2010
10.2307/1343061		Editors' Note: Between the Monolith and the Abyss	1977
10.2307/30031964	Nels C. Pearson	"Outside of Here It's Death": Co-Dependency and the Ghosts of Decolonization in Beckett's "Endgame"	2001
